FP2-F4,GSR
992,10
990,8
989,8
979,9
978,7
969,10
954,10
952,7
939,8
935,6
934,7
930,10
917,9
907,9
906,8
901,10
888,8
883,7
882,9
868,10
861,9
861,6
857,6
856,6
854,10
852,7
843,9
837,10
835,10
820,7
813,9
801,6
782,8
779,9
771,10
770,9
766,9
759,10
743,9
742,10
700,10
691,8
687,8
685,7
684,7
682,7
681,10
664,8
660,9
659,6
648,8
648,10
639,6
636,10
633,10
632,6
627,6
624,10
623,10
614,8
605,6
603,10
603,10
600,10
600,6
599,8
598,10
595,8
591,6
589,6
586,8
580,10
578,8
576,6
572,10
566,10
565,6
560,10
555,8
550,9
550,8
549,8
545,6
543,10
541,7
534,9
531,7
529,8
527,7
523,8
520,10
520,9
518,6
517,7
516,8
516,7
508,10
507,9
506,8
504,8
501,9
500,10
499,8
496,6
491,10
491,6
490,8
489,8
486,8
486,9
486,6
486,9
484,6
484,9
483,9
481,10
479,7
479,10
476,8
474,6
474,8
472,9
472,9
471,10
471,10
469,10
469,6
469,6
468,10
464,9
463,9
463,8
460,6
460,9
459,9
458,7
457,7
456,8
453,10
451,6
449,7
449,8
448,10
447,8
447,7
445,10
444,10
443,8
442,6
441,6
440,8
440,10
439,8
438,8
437,6
435,9
434,6
432,6
432,6
432,9
432,9
432,8
430,6
428,8
427,7
426,8
425,6
425,6
424,9
424,7
423,6
423,8
421,9
421,6
420,6
417,8
416,10
416,10
415,10
415,8
413,7
412,6
412,7
412,9
412,6
410,8
409,9
409,7
408,10
405,7
404,9
404,7
403,8
402,9
402,6
401,7
400,9
400,7
400,8
400,10
397,10
397,9
397,7
397,8
396,7
396,9
395,6
393,10
393,8
393,6
392,10
392,6
391,9
391,9
389,7
389,10
388,7
387,6
386,8
385,6
385,6
384,8
383,9
383,7
383,7
382,7
382,7
381,7
380,10
380,8
378,9
378,6
378,8
377,9
377,6
375,7
375,6
374,6
374,7
373,6
373,7
372,6
372,6
372,10
372,6
371,6
369,9
369,7
369,8
368,8
368,6
368,10
366,8
366,6
366,8
365,6
365,9
363,7
363,9
363,7
363,10
362,9
361,6
360,9
360,6
359,8
359,9
359,9
358,8
358,6
358,8
357,7
355,8
355,9
355,8
354,7
354,7
352,8
352,7
351,8
351,8
350,7
350,9
350,9
350,9
349,6
349,6
349,8
349,9
349,7
348,8
347,9
347,6
346,9
346,10
346,6
345,6
345,8
344,8
344,8
344,7
344,8
344,9
342,8
342,8
342,8
341,8
341,10
341,8
341,10
341,10
340,10
340,9
340,7
339,7
339,9
338,8
338,6
337,10
337,9
337,9
336,9
336,10
336,8
335,6
335,10
334,6
334,6
334,8
333,10
333,6
333,6
333,10
333,7
333,7
332,6
332,7
331,6
331,8
331,8
331,9
330,9
330,10
330,8
330,9
330,6
329,9
329,10
329,10
329,9
328,6
328,9
328,6
327,6
327,6
327,8
327,10
327,8
326,6
326,6
326,6
326,6
326,6
325,9
325,9
324,6
324,6
324,8
324,6
324,8
323,8
323,6
323,6
323,9
323,9
322,6
321,9
321,7
320,7
320,7
320,8
320,8
319,10
319,9
319,9
319,10
319,6
319,6
318,10
318,9
317,9
317,9
317,7
317,9
317,9
317,10
317,9
316,10
316,9
316,6
315,9
315,8
315,6
315,9
315,7
315,6
314,6
314,8
314,8
314,9
313,8
312,8
312,8
312,8
312,9
312,8
312,7
310,6
309,7
309,10
308,7
308,6
308,7
308,7
307,9
307,7
307,9
307,10
307,10
306,7
306,6
306,9
306,8
306,6
305,7
305,8
304,10
304,9
304,9
304,7
303,7
302,8
302,10
302,8
302,7
302,8
302,10
302,6
301,9
301,10
301,10
301,6
300,10
300,8
300,7
300,8
300,8
299,8
299,6
298,6
298,8
298,8
298,6
298,8
298,6
298,7
297,6
297,7
297,7
297,10
297,9
297,6
296,9
296,6
296,9
296,7
296,6
296,8
296,10
295,10
294,9
294,8
294,7
294,7
294,8
293,10
293,8
293,10
292,8
292,7
292,6
292,6
292,7
291,7
291,6
291,7
291,6
291,10
291,9
291,7
291,8
291,10
291,6
290,7
290,10
290,10
290,8
290,10
290,7
290,7
289,9
289,7
289,6
289,6
289,8
289,10
289,8
289,9
288,9
288,9
288,7
288,7
288,7
288,6
287,8
287,9
287,9
287,6
287,10
286,9
286,8
286,9
286,9
286,8
286,9
286,6
285,9
285,6
285,10
285,8
285,8
285,10
285,8
285,7
285,8
284,6
284,7
284,10
284,9
284,8
284,9
284,7
283,10
283,7
283,10
283,7
282,8
282,10
282,8
282,6
282,9
282,9
282,8
282,9
281,9
281,8
281,8
281,7
281,8
280,8
280,6
280,10
280,10
280,6
280,10
279,8
279,10
279,10
279,7
279,6
279,7
278,8
278,7
278,6
278,8
278,8
278,8
278,7
278,6
277,9
277,8
277,7
277,10
277,10
276,7
276,8
276,8
276,7
276,9
276,8
276,9
276,10
275,8
275,8
275,9
275,10
275,6
275,9
274,10
274,10
274,7
274,7
274,10
274,6
274,9
274,9
274,10
273,6
273,7
273,10
273,7
273,9
273,10
273,7
273,7
273,10
272,8
272,7
272,6
272,7
271,9
271,6
271,8
271,10
271,8
271,6
271,7
271,7
270,10
270,9
270,9
270,6
270,9
269,9
269,6
269,6
269,10
269,8
269,8
269,6
269,6
269,9
269,7
268,6
267,8
267,6
267,10
267,6
267,6
267,6
267,7
266,8
266,9
266,7
266,7
266,7
266,9
265,6
265,8
265,9
265,7
265,6
265,8
265,7
265,9
265,10
265,8
265,7
264,6
264,9
264,9
264,9
264,8
264,8
264,9
264,10
264,7
264,10
264,9
264,7
264,7
263,10
263,8
263,9
263,9
263,10
263,10
263,10
263,8
262,9
262,9
262,10
262,6
262,10
262,10
262,10
262,7
262,8
261,8
261,7
261,9
261,6
261,9
261,6
261,6
260,8
260,8
260,7
260,9
260,7
260,10
260,9
260,6
260,8
260,10
260,6
259,9
259,10
259,7
259,10
258,7
258,10
258,7
258,8
258,10
258,7
258,8
258,9
258,7
258,8
257,10
