FP2-F4,GSR
1206,5
1190,1
1043,1
1018,3
933,0
907,4
901,3
890,3
879,2
877,3
863,2
863,0
850,3
848,5
841,1
825,3
823,4
822,2
816,0
810,2
804,5
800,3
775,4
764,3
762,4
753,0
748,5
748,3
738,2
735,5
735,1
728,5
723,1
714,3
706,0
702,1
699,3
698,0
697,0
697,0
694,5
688,4
683,0
680,2
678,3
678,3
676,0
675,2
675,2
673,2
672,1
670,2
669,0
668,3
668,1
666,2
665,5
665,5
663,1
661,3
660,0
658,0
658,5
658,4
658,1
656,1
656,4
655,3
652,0
652,0
652,4
651,5
647,5
645,5
645,5
644,5
643,0
639,0
638,5
637,4
634,5
633,3
633,2
632,4
632,5
632,4
631,4
631,5
630,2
629,3
628,2
628,1
628,4
627,2
626,0
625,4
625,3
624,4
621,3
620,0
620,1
619,3
618,3
618,5
615,2
614,0
613,0
612,0
612,0
611,0
610,1
609,2
609,3
609,3
607,4
606,5
606,4
606,0
605,5
605,5
604,3
601,1
601,0
600,4
600,0
599,1
599,2
599,2
598,1
594,0
593,0
591,0
591,5
590,3
590,2
589,0
588,1
588,2
588,0
588,2
588,5
588,0
587,4
587,3
586,0
585,1
585,1
585,3
585,4
584,5
583,2
583,2
583,2
581,0
580,2
580,3
580,0
579,3
578,4
578,2
578,3
578,0
577,1
577,5
574,4
574,1
573,3
570,1
569,1
568,2
567,5
567,1
567,2
567,0
567,1
566,5
566,0
566,5
566,4
565,0
565,0
563,5
563,5
562,1
562,3
559,5
558,1
558,1
558,2
557,4
557,2
557,5
556,4
554,5
553,4
553,3
552,5
552,2
551,2
550,0
549,4
549,4
548,0
548,0
548,5
548,0
548,4
547,4
547,3
547,4
545,5
545,5
544,4
544,5
544,0
542,4
542,2
542,5
541,3
540,2
540,4
538,1
538,3
538,4
537,4
536,0
536,4
535,2
535,0
534,2
534,0
533,0
533,4
533,1
531,3
531,2
531,5
530,1
529,5
529,1
528,5
528,2
528,4
527,4
527,5
527,4
527,3
526,2
525,5
524,0
524,2
523,5
523,1
522,2
522,0
521,3
521,2
521,5
520,3
520,0
519,1
519,5
519,1
519,0
518,2
517,5
516,4
516,5
515,2
515,1
515,5
514,3
514,1
513,4
513,5
513,4
513,4
511,5
509,2
509,0
509,3
508,5
508,2
508,1
508,3
507,2
506,4
505,5
504,4
504,0
504,0
503,3
503,1
502,5
502,4
502,0
502,4
501,0
501,3
501,1
500,3
499,5
498,2
497,1
497,3
497,1
497,3
496,0
496,1
495,5
495,2
494,1
493,2
493,2
492,1
492,0
492,0
492,0
490,0
490,4
490,2
490,3
489,4
489,0
489,0
489,1
488,3
488,1
488,5
487,3
487,1
487,4
486,0
486,2
484,0
484,5
484,0
483,3
483,4
483,1
482,5
481,4
480,3
480,3
480,0
479,1
479,4
479,5
479,4
479,2
477,5
477,2
477,4
476,2
476,3
476,1
475,1
474,3
474,1
474,3
473,5
472,2
472,1
472,5
471,5
471,1
469,0
468,5
467,5
467,1
466,4
466,3
466,1
466,0
465,3
465,5
465,0
464,0
464,4
463,4
463,3
462,0
462,2
462,4
462,2
461,0
461,4
461,1
461,1
460,3
460,4
460,2
460,4
459,1
459,0
458,3
458,0
458,5
458,2
458,1
458,1
457,4
457,2
456,2
456,3
456,4
455,3
455,5
455,5
455,0
455,5
455,4
454,2
454,0
454,4
453,4
453,5
452,5
452,0
452,1
452,2
452,4
451,0
451,3
451,2
450,1
449,4
449,5
449,2
449,2
448,5
448,0
448,2
447,2
446,1
446,2
446,3
446,2
446,4
446,3
445,3
444,2
444,5
444,4
444,2
444,5
443,3
443,3
443,1
443,1
442,2
442,2
442,1
441,4
441,2
440,1
440,4
440,3
439,2
439,3
439,5
439,4
439,0
439,4
439,2
438,5
438,1
438,3
438,2
438,5
438,4
437,5
437,1
437,5
436,2
436,4
436,3
436,1
436,4
436,5
435,2
435,4
435,5
435,1
434,4
434,0
434,2
433,5
433,2
433,0
432,2
432,1
432,2
432,4
431,0
431,0
431,1
431,3
431,1
430,1
429,4
429,2
429,0
429,4
429,4
429,5
429,3
429,5
428,4
428,2
428,2
428,4
427,5
426,1
426,1
426,2
426,4
426,5
426,5
425,3
425,4
425,4
424,3
424,2
424,2
424,2
423,2
423,2
423,3
423,5
422,4
422,2
421,5
421,1
420,5
420,2
420,3
420,2
419,3
419,3
419,1
418,2
418,2
418,4
418,3
417,2
417,3
417,1
416,1
416,1
416,5
416,1
416,1
416,3
416,1
415,3
415,1
415,5
415,0
415,1
414,5
414,3
413,4
413,2
413,0
413,2
413,3
412,3
412,5
412,1
412,1
412,2
412,3
412,1
411,3
411,2
410,3
410,0
410,4
410,1
410,3
410,2
409,3
409,4
408,2
408,4
408,5
407,3
407,4
407,1
407,3
406,5
406,3
406,1
405,4
404,4
404,0
404,2
404,0
404,5
404,5
403,0
403,5
403,1
403,2
403,0
402,2
402,1
402,4
402,4
401,3
401,3
401,4
401,2
401,1
400,5
400,4
400,5
399,4
399,0
399,0
399,1
398,4
398,3
398,3
398,3
398,0
397,4
397,2
397,2
397,5
396,4
396,5
396,4
396,5
396,1
396,0
396,1
395,1
395,0
395,3
394,2
394,0
394,4
394,3
393,3
393,5
392,4
392,1
392,2
391,2
391,0
391,1
391,0
390,5
390,0
389,3
389,3
389,3
389,3
389,0
388,2
388,3
388,4
387,3
387,2
386,5
386,4
386,5
386,5
386,1
386,0
386,2
385,4
384,2
384,1
384,5
384,0
384,1
383,0
383,3
383,1
383,5
383,4
382,3
382,0
381,2
381,1
381,4
381,1
380,2
380,3
380,3
380,1
380,2
379,0
379,5
379,2
379,5
378,1
378,5
378,0
378,2
378,1
378,0
377,2
377,4
376,4
375,1
375,0
375,3
375,4
374,1
374,3
374,0
374,0
374,4
